image_path,textile_score
input/Fall2D_batch_20260330_195226/rpgTile070_stylized_Fall2D.jpg,0.44681901
input/Fall2D_batch_20260330_195226/rpgTile071_stylized_Fall2D.jpg,0.36267248
input/Fall2D_batch_20260330_195226/rpgTile072_stylized_Fall2D.jpg,0.47315744
input/Fall2D_batch_20260330_195226/rpgTile073_stylized_Fall2D.jpg,0.48794329
input/Fall2D_batch_20260330_195226/rpgTile074_stylized_Fall2D.jpg,0.59227461
input/Fall2D_batch_20260330_195226/rpgTile075_stylized_Fall2D.jpg,0.28642657
input/Fall2D_batch_20260330_195226/rpgTile076_stylized_Fall2D.jpg,0.25544900
input/Fall2D_batch_20260330_195226/rpgTile077_stylized_Fall2D.jpg,0.31490558
input/Fall2D_batch_20260330_195226/rpgTile078_stylized_Fall2D.jpg,0.30804223
input/Fall2D_batch_20260330_195226/rpgTile079_stylized_Fall2D.jpg,0.46039566
input/Fall2D_batch_20260330_195226/rpgTile080_stylized_Fall2D.jpg,0.33056119
input/Fall2D_batch_20260330_195226/rpgTile081_stylized_Fall2D.jpg,0.45143458
input/Fall2D_batch_20260330_195226/rpgTile082_stylized_Fall2D.jpg,0.51995623
input/Fall2D_batch_20260330_195226/rpgTile083_stylized_Fall2D.jpg,0.35169411
input/Fall2D_batch_20260330_195226/rpgTile084_stylized_Fall2D.jpg,0.57924253
input/Fall2D_batch_20260330_195226/rpgTile085_stylized_Fall2D.jpg,0.37442404
input/Fall2D_batch_20260330_195226/rpgTile086_stylized_Fall2D.jpg,0.24271685
input/Fall2D_batch_20260330_195226/rpgTile087_stylized_Fall2D.jpg,0.56322283
input/Fall2D_batch_20260330_195226/rpgTile088_stylized_Fall2D.jpg,0.49715367
input/Fall2D_batch_20260330_195226/rpgTile089_stylized_Fall2D.jpg,0.45042989
input/Fall2D_batch_20260330_195226/rpgTile090_stylized_Fall2D.jpg,0.70110339
input/Fall2D_batch_20260330_195226/rpgTile091_stylized_Fall2D.jpg,0.70238531
input/Fall2D_batch_20260330_195226/rpgTile092_stylized_Fall2D.jpg,0.38195741
input/Fall2D_batch_20260330_195226/rpgTile093_stylized_Fall2D.jpg,0.59894466
input/Fall2D_batch_20260330_195226/rpgTile094_stylized_Fall2D.jpg,0.31091243
input/Fall2D_batch_20260330_195226/rpgTile095_stylized_Fall2D.jpg,0.21899901
input/Fall2D_batch_20260330_195226/rpgTile096_stylized_Fall2D.jpg,0.45144859
input/Fall2D_batch_20260330_195226/rpgTile097_stylized_Fall2D.jpg,0.48226964
input/Fall2D_batch_20260330_195226/rpgTile098_stylized_Fall2D.jpg,0.49186742
input/Fall2D_batch_20260330_195226/rpgTile099_stylized_Fall2D.jpg,0.64633363
input/Fall2D_batch_20260330_195226/rpgTile100_stylized_Fall2D.jpg,0.69214815
input/Fall2D_batch_20260330_195226/rpgTile101_stylized_Fall2D.jpg,0.42943397
input/Fall2D_batch_20260330_195226/rpgTile102_stylized_Fall2D.jpg,0.43610963
input/Fall2D_batch_20260330_195226/rpgTile103_stylized_Fall2D.jpg,0.20489033
input/Fall2D_batch_20260330_195226/rpgTile104_stylized_Fall2D.jpg,0.31621853
input/Fall2D_batch_20260330_195226/rpgTile105_stylized_Fall2D.jpg,0.28255558
input/Fall2D_batch_20260330_195226/rpgTile106_stylized_Fall2D.jpg,0.26836899
input/Fall2D_batch_20260330_195226/rpgTile107_stylized_Fall2D.jpg,0.21752058
input/Fall2D_batch_20260330_195226/rpgTile108_stylized_Fall2D.jpg,0.57223767
input/Fall2D_batch_20260330_195226/rpgTile109_stylized_Fall2D.jpg,0.59007388
input/Fall2D_batch_20260330_195226/rpgTile110_stylized_Fall2D.jpg,0.30424422
input/Fall2D_batch_20260330_195226/rpgTile111_stylized_Fall2D.jpg,0.41965774
input/Fall2D_batch_20260330_195226/rpgTile112_stylized_Fall2D.jpg,0.28566754
input/Fall2D_batch_20260330_195226/rpgTile113_stylized_Fall2D.jpg,0.35951382
input/Fall2D_batch_20260330_195226/rpgTile114_stylized_Fall2D.jpg,0.17299767
input/Fall2D_batch_20260330_195226/rpgTile115_stylized_Fall2D.jpg,0.44739071
input/Fall2D_batch_20260330_195226/rpgTile116_stylized_Fall2D.jpg,0.21971372
input/Fall2D_batch_20260330_195226/rpgTile117_stylized_Fall2D.jpg,0.61640966
input/Fall2D_batch_20260330_195226/rpgTile118_stylized_Fall2D.jpg,0.60972399
input/Fall2D_batch_20260330_195226/rpgTile119_stylized_Fall2D.jpg,0.64464611
input/Fall2D_batch_20260330_195226/rpgTile120_stylized_Fall2D.jpg,0.58897775
input/Fall2D_batch_20260330_195226/rpgTile121_stylized_Fall2D.jpg,0.46131971
input/Fall2D_batch_20260330_195226/rpgTile122_stylized_Fall2D.jpg,0.62047815
input/Fall2D_batch_20260330_195226/rpgTile123_stylized_Fall2D.jpg,0.59226787
input/Fall2D_batch_20260330_195226/rpgTile124_stylized_Fall2D.jpg,0.35171250
input/Fall2D_batch_20260330_195226/rpgTile125_stylized_Fall2D.jpg,0.61697042
input/Fall2D_batch_20260330_195226/rpgTile126_stylized_Fall2D.jpg,0.38234282
input/Fall2D_batch_20260330_195226/rpgTile127_stylized_Fall2D.jpg,0.56342292
input/Fall2D_batch_20260330_195226/rpgTile128_stylized_Fall2D.jpg,0.63015717
